X	Y	REGION	PROVINCE	DEO	ROAD_NAME	BRIDGE_ID	BR_NAME	BR_LENGTH	BR_TYPE1	YR_CONST	ACTUAL_YR	BR_WIDTH	LOAD_LIMIT	HT_OVER	HT_UNDER	L_SDWALK	R_SDWALK	NUM_LANES	CROSSING	BRGY	MUN	ROAD_SEC_CLASS	ROUTE_NO	MaxBRHT	MaxPierHT
121.150756979609	13.826850045784	Region Ⅳ-A	Batangas	Batangas 4th District Engineering Office	Batangas-Quezon Rd	B04536LZ	Dayapan Br.	25	reinforced_concrete	1945-1970	1970	16.87	15			0.85	0.82	4	River	Matala	Ibaan	Secondary	435	12.15	
120.799725338256	13.9367580524478	Region Ⅳ-A	Batangas	Batangas 1st District Engineering Office	Palico-Balayan-Batangas Rd	B00001LZ	Bagong Tubig Br.	49	reinforced_concrete	Year Known	1958	9.86	15			1	1.1	2	River	Bagong Tubig	Calaca	Secondary	436	10.2	5
121.225126248125	14.0166029443762	Region Ⅳ-A	Batangas	Batangas 3rd District Engineering Office	Lipa City - Alaminos Rd	B03385LZ	Tansayao Br.	50	reinforced_concrete	Year Known	1994	9.56				0.73	0.7	2	River	Tansayao	Santa Clara	Tertiary		13.5	9.05
121.210570317292	13.6433649055223	Region Ⅳ-A	Batangas	Batangas 2nd District Engineering Office	Lobo-Malabrigo-Sn Juan Rd	B03073LZ	Lobo Br.	370	reinforced_concrete	Year Known	1982	8.95	20			0.8	0.8	2	River	Poblacion	Lobo	Secondary	439	8	6.1
120.628894785502	13.9021662918935	Region Ⅳ-A	Batangas	Batangas 1st District Engineering Office	Nasugbu-Lian-Calatagan Rd	B00051LZ	Talisay Br.	29	reinforced_concrete	Year Known	1972	9.06	15			1	0.97	2	River	Talisay	Calatagan	Secondary	408	4.6	
121.02062648881	13.7880002611811	Region Ⅳ-A	Batangas	Batangas 2nd District Engineering Office	Palico-Balayan-Batangas Rd	B02921LZ	Hagonoy Br.	39	steel	Year Known	1945	9.6	15			0.8	0.8	2		San Antonio	San Pascual	Secondary	436	6	3.2
121.172018090096	13.8311487367089	Region Ⅳ-A	Batangas	Batangas 4th District Engineering Office	Batangas-Quezon Rd	B00027LZ	Pinagkaanuran Br.	19	steel	Year Known	1975	9.05	20			0.82	0.82	2	River	San Ignacio	Rosario	Secondary	435	10.3	
120.857845926388	13.9101835888269	Region Ⅳ-A	Batangas	Batangas 1st District Engineering Office	Palico-Balayan-Batangas Rd	B00009LZ	Calauang Br.	23	reinforced_concrete	1945-1970	1950	16.94	15			1.15	1.12	4	River	Sinisian East	Lemery	Secondary	436	3.3	
120.926820490833	13.9321838913865	Region Ⅳ-A	Batangas	Batangas 3rd District Engineering Office	Talisay-Laurel-Agoncillo Rd	B01288LZ	Bangin Br.	32	reinforced_concrete	Year Known	2013	9.08	10			0.82	0.82	2		Bangin	Agoncillo	Tertiary		9.57	7.58
120.950888082523	13.7584498900666	Region Ⅳ-A	Batangas	Batangas 2nd District Engineering Office	Bauan-Mabini Rd	B02928LZ	Mainaga Br. 2	6	reinforced_concrete	Year Known	1929	8.4	15					2	River	Mainaga	Mabini	Tertiary			
121.086531686232	13.8398259105844	Region Ⅳ-A	Batangas	Batangas 2nd District Engineering Office	Manila-Batangas Rd	B02917LZ	Calansayan Br.	9	reinforced_concrete	Year Known	1995	12	20					2		Concepcion	Batangas City	Primary	4	16.3	
120.728603560415	14.0093472341166	Region Ⅳ-A	Batangas	Batangas 1st District Engineering Office	Palico-Balayan-Batangas Rd	B00036LZ	Obispo Br.	39	reinforced_concrete	Post 1970	1982	9.85	15			1.1	1.2	2	River	Tuyon-tuyon	Tuy	Secondary	436	10	9.33
120.734293578221	13.9468166842286	Region Ⅳ-A	Batangas	Batangas 1st District Engineering Office	Palico-Balayan-Batangas Rd	B00011LZ	Cayponse Br.	11	reinforced_concrete	1945-1970	1983	10.07	15			1.4	1.4	2	River	Cayponse	Balayan	Secondary	436	4.7	
121.064932538715	14.0881054864149	Region Ⅳ-A	Batangas	Batangas 3rd District Engineering Office	Tanauan-Talisay-Tagaytay Rd	B00034LZ	Ambulong Br. 1	15	reinforced_concrete	Year Known	1968	8.94	15			0.75	0.75	2	River	Ambulong	Tanauan	Secondary	421	3.33	
121.080457507988	13.6235939634614	Region Ⅳ-A	Batangas	Batangas 2nd District Engineering Office	Batangas-Tabangao-Lobo Rd	B03042LZ	Ilijan Br.	40	reinforced_concrete	Year Known	1990	9.56				1.1	1.1	2		Ilijan	Batangas City	Secondary	439	6.5	
120.618961314424	14.1569230358471	Region Ⅳ-A	Batangas	Batangas 1st District Engineering Office	Ternate-Nasugbu Rd	B04372LZ	Looc Br.	31	reinforced_concrete	Post 1970	2005	9.7	15		6.5	1	1.05	2	River	Looc	Nasugbu	Secondary	407	8.8	
120.917999042628	13.8781978128222	Region Ⅳ-A	Batangas	Batangas 1st District Engineering Office	Palico-Balayan-Batangas Rd	B01294LZ	Pansipit Br.	32	reinforced_concrete	Year Known	1975	9.92	15			1.27	1.27	2	River	Poblacion	Lemery	Secondary	436	4.48	3.68
121.056785763307	13.7022882247895	Region Ⅳ-A	Batangas	Batangas 2nd District Engineering Office	Batangas-Tabangao-Lobo Rd	B03039LZ	Pinamucan Br.	16	reinforced_concrete	Year Known	1993	9.6	20			1.1	1.1	2		Pinamucan	Batangas City	Secondary	439	8.61	
120.934777941508	14.0478908058905	Region Ⅳ-A	Batangas	Batangas 3rd District Engineering Office	Talisay-Laurel-Agoncillo Rd	B03174LZ	Bugaan Br.	39	reinforced_concrete	Year Known	1996	8.96	15			0.4	0.4	2	River	Poblacion	Laurel	Tertiary		7.18	4.5
120.712512712203	13.9503509877531	Region Ⅳ-A	Batangas	Batangas 1st District Engineering Office	Balayan-Balibago Rd	B04473LZ	Canda Br.	31	reinforced_concrete	Post 1970	2015	9.72	15			1.11	1.11	2	River	Sambat	Balayan	Secondary	409	7.2	
121.23907009752	13.6232404200178	Region Ⅳ-A	Batangas	Batangas 2nd District Engineering Office	Lobo-Malabrigo-Sn Juan Rd	B04828LZ	Sawang Br.	21	reinforced_concrete	Year Known	2014	9.55	20			1.1	1.1	2	River	Sawang	Lobo	Secondary	439	5.9	
121.211625014543	13.9847330174137	Region Ⅳ-A	Batangas	Batangas 4th District Engineering Office	Lipa City - Alaminos Rd	B03387LZ	Soloc Br.	48	reinforced_concrete	Year Known	1975	16.8	10			0.74	0.74	2	River	Lumbang	Lipa	Tertiary		16.6	14.3
120.631864354298	13.9382112676998	Region Ⅳ-A	Batangas	Batangas 1st District Engineering Office	Nasugbu-Lian-Calatagan Rd	B03179LZ	Matala Br.	13	reinforced_concrete	Year Known	1972	9.22	15			1.11	1.11	2	River	Balibago	Lian	Secondary	408	5.8	
121.008286704902	14.0892587618288	Region Ⅳ-A	Batangas	Batangas 3rd District Engineering Office	Talisay-Laurel-Agoncillo Rd	B03163LZ	Banga Br. 4	7	reinforced_concrete	Year Known	1970	7.7	15					2	River	Banga	Talisay	Tertiary		3	
121.409080367605	13.7864738768391	Region Ⅳ-A	Batangas	Batangas 4th District Engineering Office	Sn Juan-Laiya Rd	B03106LZ	Puting Buhangin Br.	25	reinforced_concrete	Year Known	1996	16.55	20			0.81	0.8	4	River	Puting Buhangin	San Juan	Tertiary		11.45	
120.90919401405	13.8906813105857	Region Ⅳ-A	Batangas	Batangas 1st District Engineering Office	Palico-Balayan-Batangas Rd	B04715LZ	Palanas Br.	23	reinforced_concrete	Year Known	1975	16.97	15			1.1	1.15	4	River	Palanas	Lemery	Secondary	436	6.2	
121.21338248555	13.6927171259521	Region Ⅳ-A	Batangas	Batangas 2nd District Engineering Office	Batangas-Lobo Rd	B05025LZ	Biga Br. 2	60	steel	Year Known	2020	8.94				0.8	0.8		River	Malapad Na Parang	Lobo	Secondary	438	34.4	
